Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Старик и море,ресторан рыбной кухни,Кафе; Рестораны; Доставка еды,"Чистопрудный бульвар, 12а ст1",1 этаж,101000,,Басманный,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,664,89037909805,,,,,http://simo.rest,,,,,,,,,,,,,70000001035649136,55.760648,37.643999,4504235282745384,,,2,70000001035649135,Старик и море,ресторан рыбной кухни,Рестораны,food_restaurant,3,25,2026-06-10T11:05:01Z,,0,32,https://2gis.com/firm/70000001035649136,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Пушкинъ у фонтана,кафе,Кафе; Кондитерские изделия,"Красная площадь, 3",1 этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.5,81,84950250033,,,info-gum@cafe-pushkin.ru,,http://gum.cafe-pushkin.ru/,http://t.me/cafepushkin_official,,,https://vk.com/cafepushkin_gum,,,,,,,,,70000001051329321,55.754776,37.621637,4504235282742224,ГУМ,70030076157363269,1,70000001056865475,Пушкинъ у фонтана,кафе,Кафе,cafe,2,33,2026-06-14T12:57:34Z,,0,32,https://2gis.com/firm/70000001051329321,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Shibainu fusion cafe,ресторан,Кафе; Суши-бары; Доставка еды; Бары; Рестораны,"Ленинградский проспект, 29 к4",1 этаж,125284,,Беговой,Москва,,Москва,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.9,102,84951497999,,,shibasushi@yandex.ru,,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fshibasushibar.ru%2F&back=https%3A%2F%2F2gis.ru%2Fmoscow%2Fgeo%2F70000001080132516&mode=0,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fvk.com%2Fshibainucafe&back=https%3A%2F%2Fgo.2gis.com%2FCGngP&mode=0,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Ft.me%2Fshibainu_cafe&back=https%3A%2F%2Fgo.2gis.com%2FCGngP&mode=0,,,,,,,,,,,70000001080132516,55.784539,37.560878,70030076143692321,,,2,70000001097434080,Shibainu cloud 9,,Кафе,sushi,5,52,2026-03-31T11:03:09Z,,0,32,https://2gis.com/firm/70000001080132516,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Козловица,чешская пивная,Кафе; Бары; Доставка еды; Рестораны,"Пятницкая улица, 29",2 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.4,124,84951527481,84950659761,,pyatniskaya@kozlovica.ru,,http://t.me/pilsnermoscow,http://t.me/kozlovnakozlovica,http://kozlovna.ru,,https://vk.com/kozlovna.kozlovica,https://wa.me/79636577045,,,,,,,,4504128908766878,55.740896,37.629073,4504235282709568,,,4,70000001091858557,Козловица,чешская пивная,Бары,bar,4,34,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504128908766878,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Blanc de blancs cafe,французское кафе,Кафе; Рестораны; Доставка еды; Организация праздников; Кейтеринг,"Люсиновская улица, 36/50",1 этаж,115093,,Замоскворечье,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.8,85,84956659242,,,blandeblancafe@mail.ru,,http://blanc-de-blancs.ru/,,,,https://vk.com/blancdeblancscafe,https://wa.me/79299159848,,,viber://chat/?number=79299159848,,https://t.me/+79299159848,,,4504128908650508,55.721777,37.621716,4504235282584928,,,1,4504137598476125,Blanc de blancs cafe,французское кафе,Рестораны,food_restaurant,5,58,2026-05-16T12:15:21Z,,0,32,https://2gis.com/firm/4504128908650508,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Чанчан&Чалэнд,китайское кафе,Кафе; Доставка еды,"Лесная улица, 1/2",1 этаж,125196,,Тверской,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,459,89777531817,,,info@chanchan.ru,,http://chanchan.ru,,,,,,,,,,,,,70000001033130835,55.776784,37.585619,4504235282746385,,,2,70000001033130834,Чанчан&Чалэнд,китайское кафе,Кафе,cafe,2,30,2026-04-07T12:08:30Z,,0,32,https://2gis.com/firm/70000001033130835,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Пирожок,кафе,Кафе; Пекарни; Пиццерии; Кондитерские изделия,"улица Шаболовка, 30",,115419,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,42,89850883853,,,,,,,,,,,,,,,,,,70000001112487425,55.719538,37.608451,4504235282716578,,,1,70000001112487424,Пирожок,кафе,Кафе,pizza,4,20,2026-06-09T10:22:20Z,,0,32,https://2gis.com/firm/70000001112487425,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Ситора,чайхана,Кафе; Быстрое питание; Мясо и полуфабрикаты,"Ленинградский проспект, 65",1 этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,212,89253394444,,,,,,,,,,https://wa.me/79253394444,,,,,,,,70000001060691835,55.803068,37.519499,4504235282687016,,,1,70000001060691834,Ситора,чайхана,Быстрое питание,fastfood,3,34,2026-06-25T19:40:03Z,,0,32,https://2gis.com/firm/70000001060691835,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
V60 Coffee&Bakery,кафе,Кафе; Кофейни,"Малый Палашёвский переулок, 5",1 этаж; V hotel Tverskaya,123104,Патриаршие пруды м-н,Тверской,Москва,,Москва,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,4.8,27,89693478125,,,v60moscow@gmail.com,,http://v60.moscow,,,,,https://wa.me/79693478125,,,,,,,,70000001096885095,55.765353,37.602206,4504235282747439,,,2,70000001093712806,V60 Coffee&Bakery,кафе,Кафе,cafe,2,33,2026-06-10T16:28:58Z,,0,32,https://2gis.com/firm/70000001096885095,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Киомей,японское бистро,Кафе; Рестораны; Доставка еды; Суши-бары; Банкетные залы,"Большая Новодмитровская улица, 36 ст2",1 этаж,127015,,Бутырский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.9,403,89856745509,,,kyomei.bistro@yandex.ru,,http://www.kyomei.ru,http://t.me/+bZotHLIvupUxYjky,,,https://vk.com/kyomeimoscow,,,,,,https://t.me/eda_kyomei_bot,,,70000001066167615,55.805346,37.585578,4504235282640216,,70030076136698811,1,70000001066167614,Киомей,японское бистро,Рестораны,food_restaurant,5,45,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001066167615,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Dofamin Inside,гастро-кофейня,Кафе; Кофейни; Диетические продукты; Кафе-кондитерские; Доставка еды,"проспект Мира, 95",,129085,,Останкинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,14,89939228373,,,dofamin.inside@mail.ru,,http://dofamin-inside.ru,,,,,https://wa.me/79939228373,,,,,https://t.me/+79939228373,,,70000001104526521,55.807439,37.63561,70030076168175902,,,1,70000001104526520,Dofamin Inside,гастро-кофейня,Кофейни,cafe,5,34,2026-07-02T13:30:08Z,,0,32,https://2gis.com/firm/70000001104526521,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Барвиха lounge,лаундж-бар,Кафе; Центры паровых коктейлей,"Ветошный переулок, 13",цокольный этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-03:00,+03:00,5.0,302,89045682209,,,redsquare@barvikhagroup.ru,,http://t.me/barvikhagroup,,,,https://vk.com/barvikhagroup,https://wa.me/79991133001,,,viber://chat/?number=79991133001,,https://t.me/barvikhagroup,,,70000001074375664,55.755122,37.622101,4504235282743424,,,23,70000001030277941,Барвиха lounge,лаундж-бар,Центры паровых коктейлей,bar,2,32,2026-07-03T14:21:07Z,,0,32,https://2gis.com/firm/70000001074375664,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Brume cafe&lounge,,Кафе; Центры паровых коктейлей,"Ходынский бульвар, 20а",,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-04:00; Сб: 11:30-04:00; Вс: 11:30-04:00,+03:00,5.0,18,89033637610,,,,,http://Brumelounge.ru,,,,,,,,,,,,,70000001114229965,55.791149,37.523427,4504235295532592,,,1,70000001114159113,Brume cafe&lounge,,Кафе,bar,2,0,2026-06-30T14:15:26Z,,0,32,https://2gis.com/firm/70000001114229965,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
М2 органик клуб,ресторан,Кафе; Рестораны; Доставка еды; Банкетные залы,"улица Спиридоновка, 34 ст1",1 этаж,123001,Патриаршие пруды м-н,Пресненский,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.8,49,,,,marketing.m2@ma.ru,,http://m2-cafe.ru,,,,https://vk.com/m2organiccafe,,,,,,https://t.me/m2organicclub,,,70000001042224872,55.762518,37.590124,4504235282748376,,,8,70000001037170895,М2 органик клуб,ресторан,Рестораны,food_restaurant,4,31,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001042224872,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Vasilchuki Chaihona №1,ресторан,Кафе; Рестораны; Доставка еды; Бары,"улица Алабяна, 7",2 этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 11:00-06:00; Вт: 11:00-06:00; Ср: 11:00-06:00; Чт: 11:00-06:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-06:00,+03:00,4.9,351,84952340233,84952340234 (служба доставки: пн-вс 10:00-5:00),,marketing@resproject.ru,,http://chaihona.ru/?utm_source=2gis&utm_medium=cpa&utm_campaign=akcia,,,,https://vk.com/chaihona1,,,,,,https://t.me/vasilchuki_tg,,,70000001007236370,55.802079,37.508068,4504235282637294,,,25,70000001006793079,Vasilchuki Chaihona №1,ресторан,Рестораны,food_restaurant,4,56,2026-06-29T03:51:01Z,,0,32,https://2gis.com/firm/70000001007236370,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Нияма,японский ресторан,Кафе; Рестораны; Суши-бары; Доставка еды,"Ходынский бульвар, 4",4 этаж,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+03:00,4.6,197,89911237122,,,,,http://niyama.ru/?utm_source=2gis&utm_medium=link&utm_campaign=auto_generated_cta,,,,https://vk.com/niyama,,,,,,https://t.me/niyama_official,,,70000001069610370,55.79064,37.532207,4504235283134799,Авиапарк,4504694858551670,12,4504136498577475,Нияма,японский ресторан,Рестораны,food_restaurant,4,46,2026-06-27T04:00:18Z,,0,32,https://2gis.com/firm/70000001069610370,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Pho city,сеть кафе вьетнамской кухни,Кафе; Быстрое питание,"1-я Квесисская улица, 9",,127220,,Савёловский,Москва,,Москва,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,5.0,126,89160595496 (горячая линия для обратной связи),,,phocity@inbox.ru,,http://phocity.cafe,,,,,,,,,,https://t.me/+79160595496,,,70000001097013826,55.793649,37.58001,4504235282644888,,,19,70000001037762268,Pho city,сеть кафе вьетнамской кухни,Быстрое питание,fastfood,2,10,2025-12-02T11:03:12Z,,0,32,https://2gis.com/firm/70000001097013826,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Тэсти,кафе-столовая,Кафе; Столовые; Банкетные залы,"Кожевнический проезд, 4/5 ст5",1 этаж,115114,,Замоскворечье,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00 (столовая: пн-пт 9:00-20:00; сб-вс 11:00-18:00),+03:00,4.7,118,89060569908,,,director@tastefully.ru,,http://tastefully.ru,,,,,,,,,,,,,4504127908473806,55.730301,37.644758,4504235282714840,,,1,4504136498327218,Тэсти,кафе-столовая,Кафе,food_service,3,35,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908473806,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Гамбринус,ресторан,Кафе; Рестораны; Бары; Банкетные залы,"Профсоюзная улица, 142 к1",1 этаж,117321,,Тёплый Стан,Москва,,Москва,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.9,374,84951414546,,,prof@gambrinus.ru,,http://gambrinus.ru/?utm_source=2gis&utm_medium=cpc&utm_campaign=teply_stan,,,,https://vk.com/gambrinusmoscow,,,,,,,,,70000001039916424,55.625099,37.509122,4504235282569643,,,10,4504136498588577,Гамбринус,ресторан,Рестораны,food_restaurant,4,53,2026-07-02T10:42:16Z,,0,32,https://2gis.com/firm/70000001039916424,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Икеле-Микеле,иммерсивный бар,Кафе; Бары,"улица Большая Лубянка, 13/16 ст1",,107031,,Мещанский,Москва,,Москва,Россия,Пт: 22:00-02:00; Сб: 22:00-02:00,+03:00,5.0,2,84999384838,,,,,http://икеле-микеле.москва,,,,,,,,,,,,,70000001113708740,55.764234,37.629029,4504235282758513,,,1,70000001113708739,Икеле-Микеле,иммерсивный бар,Бары,bar,2,7,2026-06-17T13:04:32Z,,0,32,https://2gis.com/firm/70000001113708740,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Волшебное кафе,,Кафе; Кафе-кондитерские,"улица Новый Арбат, 7 ст1",,119019,,Арбат,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-22:00; Вс: 10:00-21:00,+03:00,,,88005508204,,,,,,,,,,,,,,,,,,70000001115441936,55.752666,37.597643,4504235282750444,,,1,70000001115441935,Волшебное кафе,,Кафе,cafe,2,0,2026-06-24T15:14:55Z,,0,32,https://2gis.com/firm/70000001115441936,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Пей да гуляй,бар,Кафе; Бары,"Пятницкая улица, 73",1 этаж,115054,,Замоскворечье,Москва,,Москва,Россия,Пн: 16:00-05:00; Вт: 16:00-05:00; Ср: 16:00-05:00; Чт: 16:00-05:00; Пт: 16:00-05:00; Сб: 16:00-05:00; Вс: 16:00-05:00,+03:00,4.6,38,89857392220,,,pdg.pyatnickaya@yandex.ru,,http://peidagulyai.ru,,,,https://vk.com/pei_da_gulyai,,,,,,,,,70000001085334177,55.730658,37.625961,4504235282703528,,,1,70000001085334176,Пей да гуляй,бар,Бары,bar,2,36,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001085334177,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Панчо Пицца,ресторан итальянско-мексиканской кухни,Кафе; Рестораны; Доставка еды; Пиццерии; Банкетные залы,"Дмитровское шоссе, 89",2 этаж,127486,,Западное Дегунино,Москва,,Москва,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,4.9,192,84950014565 (менеджер),,,ppxl.manager@plazainvest.ru,susanna@plazainvest.ru,http://www.panchopizza.ru,,,https://twitter.com/pancho_pizza,https://vk.com/panchopizza,,,,,,,,,4504127908955224,55.863949,37.545704,4504235282552773,ТРЦ XL,70030076137124881,2,4504136498602891,Панчо Пицца,ресторан итальянско-мексиканской кухни,Рестораны,food_restaurant,5,54,2026-07-06T11:08:54Z,,0,32,https://2gis.com/firm/4504127908955224,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
