Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Пирожок,кафе,Кафе; Пекарни; Пиццерии; Кондитерские изделия,"улица Шаболовка, 30",,115419,,Донской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,42,89850883853,,,,,,,,,,,,,,,,,70000001112487425,55.719538,37.608451,4504235282716578,,,1,70000001112487424,Пирожок,кафе,Кафе,pizza,4,20,2026-06-09T10:22:20Z,,0,32,https://2gis.com/firm/70000001112487425,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Dofamin Inside,гастро-кофейня,Кафе; Кофейни; Диетические продукты; Кафе-кондитерские; Доставка еды,"проспект Мира, 95",,129085,,Останкинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,14,89939228373,,,dofamin.inside@mail.ru,,http://dofamin-inside.ru,,,,,https://wa.me/79939228373,,,,https://t.me/+79939228373,,,70000001104526521,55.807439,37.63561,70030076168175902,,,1,70000001104526520,Dofamin Inside,гастро-кофейня,Кофейни,cafe,5,35,2026-07-02T13:30:08Z,,0,32,https://2gis.com/firm/70000001104526521,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Киомей,японское бистро,Кафе; Рестораны; Доставка еды; Суши-бары; Банкетные залы,"Большая Новодмитровская улица, 36 ст2",1 этаж,127015,,Бутырский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.9,403,89856745509,,,kyomei.bistro@yandex.ru,,http://www.kyomei.ru,http://t.me/+bZotHLIvupUxYjky,,,https://vk.com/kyomeimoscow,,,,,https://t.me/eda_kyomei_bot,,,70000001066167615,55.805346,37.585578,4504235282640216,,70030076136698811,1,70000001066167614,Киомей,японское бистро,Рестораны,food_restaurant,5,46,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001066167615,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
V60 Coffee&Bakery,кафе,Кафе; Кофейни,"Малый Палашёвский переулок, 5",1 этаж; V hotel Tverskaya,123104,Патриаршие пруды м-н,Тверской,Москва,,Москва,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,4.8,27,89693478125,,,v60moscow@gmail.com,,http://v60.moscow,,,,,https://wa.me/79693478125,,,,,,,70000001096885095,55.765353,37.602206,4504235282747439,,,2,70000001093712806,V60 Coffee&Bakery,кафе,Кафе,cafe,2,34,2026-06-10T16:28:58Z,,0,32,https://2gis.com/firm/70000001096885095,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Ситора,чайхана,Кафе; Быстрое питание; Мясо и полуфабрикаты,"Ленинградский проспект, 65",1 этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,212,89253394444,,,,,,,,,,https://wa.me/79253394444,,,,,,,70000001060691835,55.803068,37.519499,4504235282687016,,,1,70000001060691834,Ситора,чайхана,Быстрое питание,fastfood,3,35,2026-06-25T19:40:03Z,,0,32,https://2gis.com/firm/70000001060691835,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Икеле-Микеле,иммерсивный бар,Кафе; Бары,"улица Большая Лубянка, 13/16 ст1",,107031,,Мещанский,Москва,,Москва,Россия,Пт: 22:00-02:00; Сб: 22:00-02:00,+03:00,5.0,2,84999384838,,,,,http://икеле-микеле.москва,,,,,,,,,,,,70000001113708740,55.764234,37.629029,4504235282758513,,,1,70000001113708739,Икеле-Микеле,иммерсивный бар,Бары,bar,2,7,2026-06-17T13:04:32Z,,0,32,https://2gis.com/firm/70000001113708740,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Pho city,сеть кафе вьетнамской кухни,Кафе; Доставка еды,"улица Большая Якиманка, 31",1 этаж,119180,,Якиманка,Москва,,Москва,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,5.0,263,89160595496 (горячая линия для обратной связи),,,phocity@inbox.ru,,http://phocity.cafe,,,,,,,,,https://t.me/+79160595496,,,70000001090569767,55.73541,37.613844,4504235282727626,,,19,70000001037762268,Pho city,сеть кафе вьетнамской кухни,Доставка еды,cafe,2,18,2026-01-14T10:36:44Z,,0,32,https://2gis.com/firm/70000001090569767,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Brume cafe&lounge,,Кафе; Центры паровых коктейлей,"Ходынский бульвар, 20а",,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-04:00; Сб: 11:30-04:00; Вс: 11:30-04:00,+03:00,5.0,18,89033637610,,,,,http://Brumelounge.ru,,,,,,,,,,,,70000001114229965,55.791149,37.523427,4504235295532592,,,1,70000001114159113,Brume cafe&lounge,,Кафе,bar,2,0,2026-06-30T14:15:26Z,,0,32,https://2gis.com/firm/70000001114229965,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Нияма,японский ресторан,Кафе; Рестораны; Суши-бары; Доставка еды,"Воронцовская улица, 2/10 ст1",1 этаж,109044,,Таганский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.5,245,89039614507,,,,,http://niyama.ru/?utm_source=2gis&utm_medium=link&utm_campaign=auto_generated_cta,,,,https://vk.com/niyama,,,,,https://t.me/niyama_official,,,4504127908906161,55.740921,37.654648,4504235282683392,,,12,4504136498577475,Нияма,японский ресторан,Рестораны,food_restaurant,4,44,2026-06-27T04:00:18Z,,0,32,https://2gis.com/firm/4504127908906161,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
М2 органик клуб,ресторан,Кафе; Рестораны; Доставка еды; Банкетные залы,"улица Усачёва, 15а",1 этаж,119048,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,24,84950250065 (служба бронирование),,,marketing.m2@ma.ru,,http://m2-cafe.ru,,,,https://vk.com/m2organiccafe,,,,,https://t.me/m2organicclub,,,70000001076291800,55.725718,37.569988,70030076196532454,,,8,70000001037170895,М2 органик клуб,ресторан,Рестораны,food_restaurant,4,37,2026-03-03T18:31:39Z,,0,32,https://2gis.com/firm/70000001076291800,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Гамбринус,ресторан,Кафе; Рестораны; Бары; Банкетные залы,"1-я Владимирская улица, 18 к1",1 этаж,111123,,Перово,Москва,,Москва,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.9,209,84951414535,,,perovo@gambrinus.ru,,http://gambrinus.ru/?utm_source=2gis&utm_medium=cpc&utm_campaign=perovo,,,,https://vk.com/gambrinusmoscow,,,,,,,,70000001007100056,55.755693,37.776007,4504235282594218,,,10,4504136498588577,Гамбринус,ресторан,Рестораны,food_restaurant,4,47,2026-04-29T09:31:36Z,,0,32,https://2gis.com/firm/70000001007100056,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Барвиха lounge,лаундж-бар,Кафе; Центры паровых коктейлей,"Ветошный переулок, 13",цокольный этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-03:00,+03:00,5.0,302,89045682209,,,redsquare@barvikhagroup.ru,,http://t.me/barvikhagroup,,,,https://vk.com/barvikhagroup,https://wa.me/79991133001,,,viber://chat/?number=79991133001,https://t.me/barvikhagroup,,,70000001074375664,55.755122,37.622101,4504235282743424,,,23,70000001030277941,Барвиха lounge,лаундж-бар,Центры паровых коктейлей,bar,2,32,2026-07-03T14:21:07Z,,0,32,https://2gis.com/firm/70000001074375664,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Vasilchuki Chaihona №1,ресторан,Кафе; Рестораны; Доставка еды; Бары,"улица Алабяна, 7",2 этаж,125057,,Сокол,Москва,,Москва,Россия,Пн: 11:00-06:00; Вт: 11:00-06:00; Ср: 11:00-06:00; Чт: 11:00-06:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-06:00,+03:00,4.9,351,84952340233,84952340234 (служба доставки: пн-вс 10:00-5:00),,marketing@resproject.ru,,http://chaihona.ru/?utm_source=2gis&utm_medium=cpa&utm_campaign=akcia,,,,https://vk.com/chaihona1,,,,,https://t.me/vasilchuki_tg,,,70000001007236370,55.802079,37.508068,4504235282637294,,,25,70000001006793079,Vasilchuki Chaihona №1,ресторан,Рестораны,food_restaurant,4,55,2026-06-29T03:51:01Z,,0,32,https://2gis.com/firm/70000001007236370,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Тэсти,кафе-столовая,Кафе; Столовые; Банкетные залы,"Кожевнический проезд, 4/5 ст5",1 этаж,115114,,Замоскворечье,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00 (столовая: пн-пт 9:00-20:00; сб-вс 11:00-18:00),+03:00,4.7,118,89060569908,,,director@tastefully.ru,,http://tastefully.ru,,,,,,,,,,,,4504127908473806,55.730301,37.644758,4504235282714840,,,1,4504136498327218,Тэсти,кафе-столовая,Кафе,food_service,3,35,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908473806,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Сунели,грузинский ресторан,Кафе; Рестораны; Доставка еды; Банкетные залы,"улица Сущёвский Вал, 14Б",,127018,,Марьина Роща,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,202,89261141416,,,kargokargia@gmail.com,,http://suneli.info,http://delivery.suneli.info,,,https://vk.com/suneli_restaurant,https://wa.me/79261141416,,,,https://t.me/+79261141416,,,70000001047506626,55.792347,37.60137,4504235282586360,,,1,70000001047506625,Сунели,грузинский ресторан,Рестораны,food_restaurant,4,47,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001047506626,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Capito,ресторан,Кафе; Доставка еды,"3-я улица Ямского Поля, 2 к13",1 этаж,125124,,Беговой,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.7,130,84954886597,89260900002,,capito-cafe@yandex.ru,,http://capito.moscow,http://t.me/capitomoscow,,,https://vk.com/capito.moscow,https://wa.me/79260900002,,,,https://t.me/+79260900002,,,70000001037012930,55.781199,37.582993,4504235282647607,,,1,70000001037012929,Capito,ресторан,Кафе,cafe,2,35,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001037012930,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Hatimaki,кафе,Кафе; Суши-бары; Доставка еды,"Люблинская улица, 80 к7",1 этаж,109382,,Люблино,Москва,,Москва,Россия,Пн: 11:00-22:30; Вт: 11:00-22:30; Ср: 11:00-22:30; Чт: 11:00-22:30; Пт: 11:00-22:30; Сб: 11:00-22:30; Вс: 11:00-22:30,+03:00,4.9,59,84951204423 (единый номер: пн-вс 11:00-23:00),,,info@hatimaki.ru,,http://hatimaki.ru,,,,https://vk.com/cafe_hatimaki,,,,,https://t.me/cafe_hatimaki,,,70000001093096203,55.660698,37.729615,70030076190632875,,,5,70000001059786977,Hatimaki,кафе,Суши-бары,sushi,3,46,2026-07-04T20:40:43Z,,0,32,https://2gis.com/firm/70000001093096203,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
